Accession,Length,Host
NC_035458,10152,Cucumis melo subsp. agrestis
NC_035459,10232,Cucumis melo var. flexuosus
NC_035461,9426,Phragmites australis
NC_035462,6930,Ocimum basilicum
NC_035463,2784,Ocimum basilicum
NC_035464,9780,Metallosphaera sp.
NC_035465,32399,Morelia viridis
NC_035466,5898,Apis mellifera
NC_035467,5911,Apis mellifera
NC_035468,204055,Microtus oeconomus
NC_035469,200223,Homo sapiens
NC_035470,10187,Epirrita autumnata
NC_035471,5850,Chiroptera
NC_035472,7194,Ziziphus jujuba
NC_035473,2746,Emilia sonchifolia
NC_035474,2560,Homo sapiens
NC_035475,2585,Homo sapiens
NC_035476,3081,Sus scrofa
NC_035477,2204,Sus scrofa
NC_035478,8218,Sus scrofa
NC_035479,7600,Felis catus
NC_035480,3278,Vitis vinifera
NC_035481,2629,Solanum lycopersicum
NC_035485,2297,Heterobasidion parviporum
NC_035486,2231,Heterobasidion parviporum
NC_035487,2631,Macroptilium
NC_035488,2593,Macroptilium
NC_035432,12614,Sus scrofa
NC_035179,2749,Saccharum officinarum
NC_035185,5189,Camelus dromedarius
NC_035180,5533,Sus scrofa
NC_035181,5144,Ailuropoda melanoleuca
NC_035184,9691,Aphis fabae
NC_035186,5183,Camelus dromedarius
NC_035187,10026,Anopheles farauti
NC_035189,3387,Antonospora locustae
NC_035190,7279,Euonymus maackii
NC_035191,25995,Suncus murinus
NC_035202,7476,Vitis vinifera
NC_035203,8701,Vitis vinifera
NC_035204,7462,Vanilla planifolia
NC_035205,6295,Vanilla planifolia
NC_035206,1689,Canis lupus familiaris
NC_035207,35030,Sciurus vulgaris
NC_035208,7480,Bos taurus
NC_035209,1971,Garrulus glandarius
NC_035210,3024,Eudromia elegans
NC_035211,2343,Homo sapiens
NC_035212,3925,Homo sapiens
NC_035213,1942,Homo sapiens
NC_035214,7586,Lactuca sativa
NC_035215,4730,Cucurbita moschata
NC_035216,4052,Ochlerotatus camptorhynchus
NC_035217,2555,Ochlerotatus camptorhynchus
NC_035218,7068,Leonurus cardiaca
NC_035219,5300,Lactuca sativa
NC_035220,4963,Leonurus cardiaca
NC_035221,7045,Cucurbita moschata
NC_035222,4242,Ochlerotatus camptorhynchus
NC_035223,3160,Ochlerotatus camptorhynchus
NC_035110,8136,Arctocephalus gazella
NC_035111,5889,Apis mellifera
NC_035112,5898,Apis mellifera
NC_035113,5921,Apis mellifera
NC_035114,2389,Neofusicoccum luteum
NC_035115,9126,Apis mellifera
NC_035116,5877,Apis mellifera
NC_035117,167212,Tursiops truncatus
NC_035118,10646,Anopheles meraukensis
NC_035123,9324,Culex australicus
NC_035124,10867,Culex australicus
NC_035127,13766,Crocidura olivieri
NC_035128,11470,Ochlerotatus camptorhynchus
NC_035129,9176,Culex australicus
NC_035130,6363,Ochlerotatus camptorhynchus
NC_035131,6363,Ochlerotatus camptorhynchus
NC_035132,11503,Culex quinquefasciatus
NC_035133,13297,Culex globocoxitus
NC_035134,9969,Cucurbita maxima
NC_035135,2105,Leptonychotes weddellii
NC_035136,2119,Leptonychotes weddellii
NC_035137,2199,Bemisia tabaci
NC_035138,2211,Bemisia tabaci
NC_035139,2231,Bemisia tabaci
NC_035070,3420,Spinacia oleracea
NC_035071,20414,Apis mellifera
NC_034968,14964,Calidris fuscicollis
NC_034970,5819,Prunus persica
NC_034971,8216,Canis lupus familiaris
NC_034972,27682,Apodemus chevrieri
NC_034973,9445,Aphis glycines
NC_034974,6347,Sus scrofa
NC_034975,3510,Zalophus californianus
NC_034976,28487,Capra hircus
NC_034977,1902,Anas platyrhynchos
NC_034978,2572,Indri indri
NC_034979,1665,Rosa sp.
NC_034980,1402,Rosa sp.
NC_034981,1649,Rosa sp.
NC_034836,6176,Vitis vinifera
NC_034833,6958,Agave tequilana
NC_034834,33945,Odocoileus virginianus
NC_034835,9428,Dimocarpus longan
NC_034617,8541,Circus aeruginosus
NC_034618,207914,Rana temporaria
NC_034619,34190,Sulfolobus islandicus
NC_034620,36391,Sulfolobus islandicus
NC_034621,36306,Sulfolobus islandicus
NC_034622,8349,Medicago sativa
NC_034623,36493,Sulfolobus islandicus
NC_034624,33356,Sulfolobus islandicus
NC_034625,32735,Sulfolobus islandicus
NC_034626,29923,Rousettus leschenaultii
NC_034627,35439,Sulfolobus islandicus
NC_034628,35035,Sulfolobus islandicus
NC_034629,2971,Capsicum annuum var. annuum
NC_034630,2886,Ipomoea batatas
NC_034614,3383,Zostera marina
NC_034615,3316,Zostera marina
NC_034616,7812,Homo sapiens
NC_032475,3256,Hyptiotes gertschi
NC_034508,11181,Lutzomyia
NC_034509,6386,Hoya wayetii
NC_034510,4436,Hyalomma dromedarii
NC_034511,12104,Ornithodoros erraticus
NC_034512,2225,Ornithodoros erraticus
NC_034513,1573,Dianthus chinensis
NC_034514,1930,Bipolaris maydis
NC_034515,6578,Sigmodon alstoni
NC_034516,3651,Hylomyscus simus
NC_034517,6531,Hylomyscus simus
NC_034518,3706,Microtus maximowiczii
NC_034519,6581,Microtus maximowiczii
NC_034520,12004,Hyalomma dromedarii
NC_034521,1768,Hyalomma dromedarii
NC_034522,4932,Ornithodoros erraticus
NC_034523,1562,Dianthus chinensis
NC_034524,1790,Bipolaris maydis
NC_034525,3675,Sigmodon alstoni
NC_034526,1746,Hylomyscus simus
NC_034527,1845,Microtus maximowiczii
NC_034528,1986,Sigmodon alstoni
NC_034529,11422,Ameiva ameiva
NC_034530,13294,Ameiva ameiva
NC_034531,13784,Culex tarsalis
NC_034532,4981,Dysaphis plantaginea
NC_034533,13695,Riparia paludicola
NC_034534,13593,Coquillettidia albicosta
NC_034535,10853,Rattus rattus
NC_034536,12536,Culicoides
NC_034537,15721,Culex dunni
NC_034538,13155,Culicinae
NC_034539,10968,Eretmapodites leucopous
NC_034540,11457,Gerbilliscus kempi
NC_034541,12403,Culex tarsalis
NC_034542,11290,Sergentomyia
NC_034543,13189,Culex annulirostris
NC_034544,13070,Lutzomyia
NC_034545,10941,Rhinolophus eloquens
NC_034546,13141,Culicoides insignis
NC_034547,1844,Chiroptera
NC_034548,11355,Rhinolophus cornutus
NC_034549,11478,Microtus montanus
NC_034550,11397,Ameiva ameiva
NC_034551,12193,Colocasia esculenta
NC_034553,6563,Oligoryzomys fulvescens
NC_034554,4414,Ixodes uriae
NC_034555,1816,Eliurus majori
NC_034556,6508,Eliurus majori
NC_034557,3649,Crocidura lasiura
NC_034558,1567,Crocidura lasiura
NC_034559,1597,Sorex roboratus
NC_034560,6499,Sorex roboratus
NC_034561,11806,Ixodes uriae
NC_034562,1613,Ixodes uriae
NC_034563,3586,Eliurus majori
NC_034564,6581,Crocidura lasiura
NC_034565,3635,Sorex roboratus
NC_034566,1859,Oligoryzomys fulvescens
NC_034567,7299,Anser
NC_034568,8019,Haliotis discus
NC_034440,29642,Pipistrellus
NC_034442,9760,Sus scrofa domesticus
NC_034443,11450,Homo sapiens
NC_034445,4242,Mephitis mephitis
NC_034446,147346,Ateles sp.
NC_034447,13104,Culex tarsalis
NC_034448,12957,Culex portesi
NC_034449,13205,Culex annulirostris
NC_034450,13209,Culex annulioris
NC_034451,11528,Myotis yumanensis
NC_034452,1707,Chlorocebus sabaeus
NC_034453,7066,Mustela putorius furo
NC_034454,10863,Culicoides punctatus
NC_034455,15596,Piliocolobus tephrosceles
NC_034456,5070,Canis lupus familiaris
NC_034457,1156,Culicidae
NC_034458,1212,Culex simpliciforceps
NC_034459,7454,Culicidae
NC_034460,7427,Culex simpliciforceps
NC_034461,3118,Culicidae
NC_034462,6697,Chaoborus trivitattus
NC_034463,2212,Chaoborus trivitattus
NC_034464,1825,Talpa europaea
NC_034465,6563,Talpa europaea
NC_034466,3630,Eothenomys eleusis
NC_034467,6531,Eothenomys eleusis
NC_034468,2683,Culex simpliciforceps
NC_034469,2792,Chaoborus trivitattus
NC_034470,3590,Talpa europaea
NC_034473,1813,Eothenomys eleusis
NC_034474,3637,Anourosorex squamipes
NC_034475,6895,Sapajus apella
NC_034476,1032,Sapajus apella
NC_034477,4356,Sapajus apella
NC_034478,1048,Sapajus apella
NC_034479,6934,Homo sapiens
NC_034480,1096,Homo sapiens
NC_034481,902,Anopheles funestus
NC_034482,6858,Caluromys philander
NC_034483,824,Caluromys philander
NC_034484,1833,Anourosorex squamipes
NC_034485,6533,Anourosorex squamipes
NC_034486,955,Homo sapiens
NC_034487,6824,Homo sapiens
NC_034488,4332,Sapajus apella
NC_034489,6855,Sapajus apella
NC_034490,4557,Homo sapiens
NC_034491,4449,Anopheles funestus
NC_034492,6959,Anopheles funestus
NC_034493,4379,Caluromys philander
NC_034494,4434,Ornithodoros
NC_034495,6894,Sapajus apella
NC_034496,1111,Sapajus apella
NC_034497,6872,Homo sapiens
NC_034498,1090,Homo sapiens
NC_034499,6866,Chaerephon plicatus
NC_034500,4568,Chaerephon plicatus
NC_034501,975,Chaerephon plicatus
NC_034502,12132,Ornithodoros
NC_034503,1898,Ornithodoros
NC_034504,4594,Sapajus apella
NC_034505,4642,Homo sapiens
NC_034506,4486,Homo sapiens
NC_034151,10937,Culex quinquefasciatus
NC_034384,9580,Plutella xylostella
NC_034385,6656,Homo sapiens
NC_034386,1590,Ixodoidea
NC_034387,12081,Ixodoidea
NC_034388,5412,Carios pusillus
NC_034389,1787,Carios pusillus
NC_034390,2278,Ribes nigrum
NC_034391,5077,Ixodoidea
NC_034392,12272,Carios pusillus
NC_034393,3772,Rousettus amplexicaudatus
NC_034394,1829,Talpa europaea
NC_034395,3641,Talpa europaea
NC_034396,2006,Peromyscus beatae
NC_034397,3636,Peromyscus beatae
NC_034398,1754,Crocidura shantungensis
NC_034399,6588,Crocidura shantungensis
NC_034400,1830,Rousettus amplexicaudatus
NC_034401,6556,Rousettus amplexicaudatus
NC_034402,6538,Talpa europaea
NC_034403,6529,Peromyscus beatae
NC_034404,3570,Crocidura shantungensis
NC_034405,1731,Crocidura douceti
NC_034406,3597,Crocidura douceti
NC_034407,6551,Crocidura douceti
NC_034408,5349,Ribes nigrum
NC_034381,8468,Miniopterus schreibersii
NC_034382,35555,Macaca fascicularis
NC_034375,5879,Manihot esculenta
NC_034376,8696,Capsicum annuum
NC_034377,8372,Citrullus lanatus
NC_034378,5225,Procyon lotor
NC_034273,10000,Lactuca sativa
NC_034264,7398,Arracacia xanthorrhiza
NC_034268,3528,Botryosphaeria dothidea
NC_034269,2583,Botryosphaeria dothidea
NC_034270,2574,Botryosphaeria dothidea
NC_034271,2816,Botryosphaeria dothidea
NC_034266,204237,Columba livia
NC_034267,7461,Capra hircus
NC_034249,350731,Vermamoeba vermiformis
NC_034265,5979,Nicotiana tabacum
NC_034240,13389,Solanum lycopersicum
NC_034241,10493,Diabrotica virgifera virgifera
NC_034242,10370,Ochlerotatus caspius
NC_034243,4196,Ixeridium dentatum
NC_034244,13202,Diabrotica virgifera virgifera
NC_034246,5845,Vigna unguiculata
NC_034247,5945,Vigna unguiculata
NC_034248,115042,Rhizobium etli CFN 42
NC_034250,1374,Cyamopsis tetragonoloba
NC_034251,5052,Vicugna pacos
NC_034252,7326,Wisteria sinensis
NC_034253,5269,Homo sapiens
NC_034257,2260,Beauveria bassiana
NC_034258,1921,Beauveria bassiana
NC_034259,1373,Beauveria bassiana
NC_034260,2425,Beauveria bassiana
NC_034216,15098,Lagenaria siceraria
NC_034217,9834,Pityohyphantes rubrofasciatus
NC_034218,5060,Rhinolophus hildebrandti
NC_034219,5014,Rousettus aegyptiacus
NC_034220,4752,Miniopterus schreibersii
NC_034221,4877,Miniopterus schreibersii
NC_034222,2963,Rhipicephalus microplus
NC_034223,2705,Rhipicephalus microplus
NC_034224,2728,Rhipicephalus microplus
NC_034225,2629,Rhipicephalus microplus
NC_034204,10897,Culicidae
NC_034205,6730,Vitis vinifera
NC_034206,7429,Papio cynocephalus
NC_034207,5953,Solanum aethiopicum
NC_034208,9555,Helianthus annuus
NC_034209,3170,Phomopsis
NC_034210,1873,Myotis davidii
NC_034214,8014,Vitis
NC_034215,5956,Vitis
NC_034152,9506,Anopheles atropos
NC_034154,9748,Culicoidea
NC_034155,10050,Culex
NC_034156,7615,Culex quinquefasciatus
NC_034157,7903,Paracoccus marginatus
NC_034158,9136,Anopheles albimanus
NC_034159,1609,Capsicum annuum
NC_034162,1397,Oncorhynchus tshawytscha
NC_034163,1325,Oncorhynchus tshawytscha
NC_034164,1141,Oncorhynchus tshawytscha
NC_034165,979,Oncorhynchus tshawytscha
NC_034166,728,Oncorhynchus tshawytscha
NC_034167,1525,Capsicum annuum
NC_034168,3947,Oncorhynchus tshawytscha
NC_034169,3869,Oncorhynchus tshawytscha
NC_034170,3702,Oncorhynchus tshawytscha
NC_034171,2234,Oncorhynchus tshawytscha
NC_034172,2053,Oncorhynchus tshawytscha
NC_034173,1932,Oncorhynchus tshawytscha
NC_034007,10131,Cynopterus brachyotis
NC_034017,10884,Aedes albopictus
NC_033792,6712,Marmota himalayana
NC_033793,10101,Anatidae
NC_033815,7949,Phasianus colchicus
NC_033816,11094,Arthropoda
NC_033817,1228,Manihot esculenta
NC_033818,7092,Eidolon helvum
NC_033819,7085,Eidolon helvum
NC_033820,7746,Eidolon helvum
NC_033821,6640,Marmota himalayana
NC_033822,9096,Bivalvia
NC_033825,8335,Eidolon helvum
NC_033826,8630,Eidolon helvum
NC_033827,8518,Tunicata
NC_033828,6612,Prunus persica
NC_033829,152388,Drosophila melanogaster
NC_033832,3283,Cucurbitaceae
NC_033833,4873,Cucurbitaceae
NC_033834,8911,Cucurbitaceae
NC_033835,4366,Phlebotominae
NC_033836,6402,Choloepus didactylus
NC_033837,1628,Choloepus didactylus
NC_033838,4233,Phlebotominae
NC_033839,1823,Phlebotominae
NC_033840,4180,Phlebotominae
NC_033841,6504,Proechimys guyannensis
NC_033842,4528,Proechimys guyannensis
NC_033843,1864,Proechimys guyannensis
NC_033844,6410,Phlebotominae
NC_033845,1863,Phlebotominae
NC_033846,4538,Choloepus didactylus
NC_033848,6394,Phlebotominae
NC_033849,6405,Phlebotominae
NC_033850,1819,Phlebotominae
NC_033851,1869,Arthropoda
NC_033852,1766,Arthropoda
NC_033781,7329,Homo sapiens
NC_033775,376207,Acanthamoeba castellanii
NC_033776,7475,Eidolon helvum
NC_033777,3880,Clematis
NC_033778,111453,Leptopilina boulardi
NC_033779,2784,Solanum lycopersicum
NC_033780,144673,Mythimna unipuncta
NC_033782,3950,Culex tritaeniorhynchus
NC_033783,2901,Culex tritaeniorhynchus
NC_033784,2769,Culex tritaeniorhynchus
NC_033785,1978,Culex tritaeniorhynchus
NC_033786,1775,Culex tritaeniorhynchus
NC_033787,1657,Culex tritaeniorhynchus
NC_033788,1165,Culex tritaeniorhynchus
NC_033789,1142,Culex tritaeniorhynchus
NC_033790,1103,Culex tritaeniorhynchus
NC_033791,832,Culex tritaeniorhynchus
NC_033619,10017,Helicoverpa armigera
NC_033620,173861,Mus musculus
NC_033694,10095,Coquillettidia xanthogaster
NC_033695,7414,Bos taurus
NC_033696,4100,Phasianus colchicus
NC_033700,30353,Nematoda
NC_033701,11743,Nematoda
NC_033702,2696,Araneae
NC_033703,9314,Nematoda
NC_033704,7977,Nematoda
NC_033705,11731,Nematoda
NC_033706,4297,Solanum nodiflorum
NC_033707,10644,Hexapoda
NC_033708,8197,Stylommatophora
NC_033709,4059,Araneae
NC_033710,9305,Hexapoda
NC_033711,6216,Araneae
NC_033712,10647,Araneae
NC_033713,2836,Hexapoda
NC_033714,11448,Araneae
NC_033715,10755,Uranotaenia mashonaensis
NC_033716,9558,Culicidae
NC_033717,11652,Araneae
NC_033718,9421,Araneae
NC_033719,6527,Nematoda
NC_033720,8824,Hexapoda
NC_033722,10232,Hexapoda
NC_033725,10203,Culex sitiens
NC_033727,11330,Nematoda
NC_033728,11525,Nematoda
NC_033729,2822,Diaporthe longicolla
NC_033730,9547,Nematoda
NC_033731,12548,Myriapoda
NC_033732,9961,Nematoda
NC_033733,10655,Diplopoda
NC_033734,3243,Nematoda
NC_033735,17562,Diptera
NC_033736,2208,Echinothrips americanus
NC_033738,7533,Theobroma cacao
NC_033739,7454,Theobroma cacao
NC_033740,7958,Eidolon helvum
NC_033741,4576,Amphibola crenata
NC_033742,2196,Echinothrips americanus
NC_033743,2182,Echinothrips americanus
NC_033745,7991,Eidolon helvum
NC_033746,4729,Amphibola crenata
NC_033747,2243,Echinothrips americanus
NC_033748,1524,Myriapoda
NC_033749,2221,Hexapoda
NC_033750,2167,Hexapoda
NC_033751,2793,Myriapoda
NC_033752,2838,Nematoda
NC_033753,5931,Nematoda
NC_033754,1730,Nematoda
NC_033755,1446,Nematoda
NC_033756,10960,Penaeidae
NC_033757,4249,Penaeidae
NC_033758,3605,Penaeidae
NC_033759,3524,Dermaptera
NC_033760,2579,Dermaptera
NC_033761,9874,Dermaptera
NC_033762,2938,Arthropoda
NC_033763,1491,Arthropoda
NC_033764,1728,Gryllidae
NC_033765,1549,Gryllidae
NC_033766,1510,Gryllidae
NC_033767,1503,Gryllidae
NC_033768,1436,Gryllidae
NC_033769,1379,Gryllidae
NC_033770,1966,Spinacia oleracea
NC_033771,1762,Spinacia oleracea
NC_033772,3310,Piperaceae
NC_033773,4711,Piperaceae
NC_033774,8913,Piperaceae
NC_033618,1347,Pisum sativum
NC_033553,15446,Piliocolobus tephrosceles
NC_033554,2738,Pisum sativum
NC_033555,1364,Pisum sativum
NC_033423,208501,Sparus aurata
NC_033455,9733,Hexapoda
NC_033457,15441,Hexapoda
NC_033458,11226,Scutigera coleoptrata
NC_033459,12965,Arthropoda
NC_033460,9952,Astacoidea
NC_033461,16121,Arthropoda
NC_033462,9096,Diptera
NC_033463,4975,Hexapoda
NC_033465,4571,Insecta
NC_033466,6718,Insecta
NC_033467,7404,Insecta
NC_033468,4605,Insecta
NC_033469,10310,Scutigera coleoptrata
NC_033470,3491,Arthropoda
NC_033471,2714,Hexapoda
NC_033472,2976,Insecta
NC_033474,3042,Tabanidae
NC_033475,9939,Hexapoda
NC_033476,2397,Botryosphaeria dothidea
NC_033477,2184,Botryosphaeria dothidea
NC_033478,1665,Arthropoda
NC_033479,1759,Scutigera coleoptrata
NC_033480,2864,Scutigera coleoptrata
NC_033481,2246,Hexapoda
NC_033482,3140,Diplopoda
NC_033483,1606,Diplopoda
NC_033484,1601,Hexapoda
NC_033485,1698,Diptera
NC_033486,1672,Diptera
NC_033487,3317,Arthropoda
NC_033488,1556,Scutigera coleoptrata
NC_033489,2715,Scutigera coleoptrata
NC_033490,5889,Hexapoda
NC_033491,3735,Hexapoda
NC_033492,7615,Petunia x hybrida
NC_033493,3789,Petunia x hybrida
NC_033494,1967,Botryosphaeria dothidea
NC_033495,1131,Botryosphaeria dothidea
NC_033496,1060,Botryosphaeria dothidea
NC_033415,8566,Trichoderma atroviride
NC_033416,11748,Orthoptera
NC_033417,4931,Culicidae
NC_033418,10182,Orthoptera
NC_033419,14984,Nematoda
NC_033420,5558,Cestoda
NC_033421,12209,Hexapoda
NC_033422,4635,Bivalvia
NC_033424,6271,Bivalvia
NC_033425,9956,Hexapoda
NC_033426,4467,Pomacea canaliculata
NC_033427,5659,Pomacea canaliculata
NC_033428,6003,Pomacea canaliculata
NC_033429,4884,Pomacea canaliculata
NC_033430,2945,Pomacea canaliculata
NC_033431,3883,Bivalvia
NC_033432,2696,Pomacea canaliculata
NC_033433,2847,Pomacea canaliculata
NC_033434,4683,Bivalvia
NC_033435,2841,Pomacea canaliculata
NC_033436,9903,Nematoda
NC_033437,9876,Myriapoda
NC_033438,4739,Pomacea canaliculata
NC_033439,4112,Pomacea canaliculata
NC_033440,4443,Pomacea canaliculata
NC_033441,2790,Pomacea canaliculata
NC_033442,2972,Blattodea
NC_033443,5144,Pomacea canaliculata
NC_033444,4947,Gastropoda
NC_033445,1622,Nematoda
NC_033446,2912,Hexapoda
NC_033447,1804,Dermaptera
NC_033448,1656,Dermaptera
NC_033449,1528,Dermaptera
NC_033450,5990,Cestoda
NC_033451,4708,Cestoda
NC_033452,2645,Nematoda
NC_033453,1592,Hexapoda
NC_033454,1517,Dermaptera
NC_033334,2781,Ipomoea batatas
NC_033335,1311,Daucus carota
NC_032726,5695,Thoracica
NC_032727,2375,Diptera
NC_032729,3970,Nesidiocoris tenuis
NC_032730,28763,Rattus norvegicus
NC_032731,3833,Myriapoda
NC_032732,2758,Hexapoda
NC_032733,7081,Culicidae
NC_032734,4958,Arthropoda
NC_032735,19864,Tetragnatha maxillosa
NC_032736,8267,Annelida
NC_032737,10610,Astacoidea
NC_032738,10327,Orthoptera
NC_032739,11938,Crustacea
NC_032740,9481,Astacoidea
NC_032741,6453,Myriapoda
NC_032742,2642,Caridea
NC_032743,11022,Orthoptera
NC_032744,2716,Caridea
NC_032745,8848,Annelida
NC_032746,6381,Leptuca
NC_032747,6097,Thoracica
NC_032748,9565,Scutigera coleoptrata
NC_032749,8652,Astacoidea
NC_032750,2982,Heteroptera
NC_032751,9177,Ixodida
NC_032752,10106,Scutigera coleoptrata
NC_032753,9037,Arthropoda
NC_032754,3209,Termitoidae
NC_032755,9316,Astacoidea
NC_032756,8842,Scutigera coleoptrata
NC_032757,9910,Arthropoda
NC_032758,9660,Ixodida
NC_032759,10129,Diptera
NC_032760,3518,Thoracica
NC_032761,8923,Astacoidea
NC_032762,1684,Termitoidae
NC_032763,24854,Crustacea
NC_032764,9487,Ixodida
NC_032765,10976,Diptera
NC_032766,9555,Orthoptera
NC_032767,3498,Coleoptera
NC_032768,3501,Siluridae
NC_032769,9129,Arthropoda
NC_032770,9856,Diptera
NC_032771,9773,Myriapoda
NC_032772,9598,Ascaris suum
NC_032773,9296,Astacoidea
NC_032774,8860,Diptera
NC_032775,4193,Siluridae
NC_032776,10308,Arthropoda
NC_032777,10429,Myriapoda
NC_032778,8974,Ascaris suum
NC_032779,8774,Astacoidea
NC_032780,9100,Diptera
NC_032781,11560,Crustacea
NC_032782,5082,Siluridae
NC_032783,10003,Arthropoda
NC_032784,10472,Caridea
NC_032785,3593,Arthropoda
NC_032786,4755,Ensis minor
NC_032787,4822,Penaeidae
NC_032788,7171,Astacoidea
NC_032789,4209,Siluridae
NC_032790,8821,Diptera
NC_032791,10236,Crustacea
NC_032792,3375,Termitoidae
NC_032793,7447,Crustacea
NC_032794,8489,Astacoidea
NC_032795,8601,Arthropoda
NC_032796,2281,Termitoidae
NC_032797,10912,Myriapoda
NC_032798,15783,Termitoidae
NC_032799,8837,Crustacea
NC_032800,9539,Arthropoda
NC_032801,9743,Astacoidea
NC_032802,11119,Crustacea
NC_032803,9155,Crustacea
NC_032804,10140,Biomphalaria glabrata
NC_032805,3507,Penaeidae
NC_032806,7804,Hexapoda
NC_032808,8895,Bivalvia
NC_032809,8739,Arthropoda
NC_032810,9716,Crustacea
NC_032811,4431,Siluridae
NC_032812,11218,Myriapoda
NC_032813,3717,Odonata
NC_032814,8991,Bivalvia
NC_032815,10033,Crustacea
NC_032816,9551,Astacoidea
NC_032817,3559,Penaeidae
NC_032818,7484,Crustacea
NC_032819,6659,Hexapoda
NC_032820,9550,Bivalvia
NC_032821,2664,Tetragnatha maxillosa
NC_032822,10297,Arthropoda
NC_032823,8158,Astacoidea
NC_032824,13549,Arthropoda
NC_032825,8524,Caridea
NC_032826,4264,Siluridae
NC_032827,11290,Bivalvia
NC_032828,2308,Gerridae
NC_032829,10120,Arthropoda
NC_032830,8664,Crustacea
NC_032831,5336,Nematoda
NC_032832,4059,Odonata
NC_032833,8031,Astacoidea
NC_032834,8467,Crustacea
NC_032835,3643,Atyidae
NC_032836,3474,Murex trapa
NC_032837,8091,Caridea
NC_032838,9272,Arthropoda
NC_032839,10528,Crustacea
NC_032840,9997,Biomphalaria glabrata
NC_032841,6618,Merostomata
NC_032843,2971,Sipuncula
NC_032844,9299,Crustacea
NC_032845,9182,Astacoidea
NC_032846,4035,Odonata
NC_032847,6682,Caridea
NC_032848,4130,Siluridae
NC_032849,10903,Orthoptera
NC_032850,8712,Astacoidea
NC_032851,6891,Hexapoda
NC_032852,10445,Caridea
NC_032853,2495,Siluridae
NC_032854,9041,Crustacea
NC_032855,8685,Astacoidea
NC_032856,2286,Odonata
NC_032857,7849,Arthropoda
NC_032858,9887,Crustacea
NC_032859,3092,Penaeidae
NC_032860,8266,Astacoidea
NC_032861,2592,Annelida
NC_032862,4145,Sesarmidae
NC_032863,9126,Arthropoda
NC_032864,9291,Crustacea
NC_032865,3164,Penaeidae
NC_032866,5160,Ensis minor
NC_032867,3992,Annelida
NC_032868,8375,Astacoidea
NC_032869,11157,Atyidae
NC_032870,2247,Annelida
NC_032871,10076,Arthropoda
NC_032872,2730,Diptera
